duration,x^0     ,x^1     ,x^2     ,x^3     ,x^4     ,x^5     ,x^6     ,x^7     ,y^0     ,y^1     ,y^2     ,y^3     ,y^4     ,y^5     ,y^6     ,y^7     ,z^0     ,z^1     ,z^2     ,z^3     ,z^4     ,z^5     ,z^6     ,z^7     ,yaw^0   ,yaw^1   ,yaw^2   ,yaw^3   ,yaw^4   ,yaw^5   ,yaw^6   ,yaw^7   
1.927300,-2.500000,0.000000,0.000000,0.000000,9.679250,-15.571032,9.187355,-1.943967,0.000000,-0.000000,0.000000,-0.000000,-3.229139,5.001881,-2.898557,0.613310,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000
1.200000,-0.707107,1.996418,-1.256656,-1.332793,7.075082,-14.564023,17.292497,-8.652934,-0.707107,-0.916195,0.424367,0.864678,-1.871677,4.221605,-5.455681,2.729949,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.500000,0.000000,1.022379,-0.315023,0.710262,-0.661242,-0.157129,0.391147,-0.128521,-1.000000,-0.184259,0.867703,0.007898,-0.364058,0.249607,-0.123400,0.040546,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.765400,0.707107,0.768411,-0.408293,-0.270728,0.263402,-0.118053,0.039531,-0.012991,-0.707107,0.795830,0.313799,-0.264022,0.109776,-0.012463,-0.012427,0.004079,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.765400,1.000000,-0.018532,-0.501577,0.042573,-0.034137,0.027164,0.004165,-0.001386,0.000000,0.973834,-0.003939,-0.063389,0.013665,-0.046013,-0.000868,0.000245,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.765400,0.707107,-0.721524,-0.388216,0.117893,0.086349,-0.038872,0.002117,-0.000873,0.707107,0.800922,-0.310904,-0.295960,-0.165177,0.193772,0.003750,-0.001633,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.765400,0.000000,-1.018327,0.017792,0.163034,-0.051371,0.015744,0.017002,-0.007342,1.000000,-0.155294,-0.691919,0.347533,0.597318,-0.512691,0.038367,-0.016579,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.765400,-0.707107,-0.753216,0.329201,0.162270,0.102765,-0.151759,0.167903,-0.072548,0.707107,-0.374995,0.012825,-0.682331,-1.152724,0.848360,0.379915,-0.164157,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.765400,-1.000000,0.122343,0.846705,0.222122,0.809140,-4.311288,7.334123,-4.884384,0.000000,-1.798526,-0.751482,2.193699,5.006458,-12.161525,16.595472,-11.052262,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.500000,-0.707107,1.033852,0.674853,-1.287097,2.471558,-7.099160,7.304403,-2.391303,-0.707107,-0.299172,3.152054,-0.885343,2.753008,-15.130683,16.528225,-5.410981,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
