duration,x^0     ,x^1     ,x^2     ,x^3     ,x^4     ,x^5     ,x^6     ,x^7     ,y^0     ,y^1     ,y^2     ,y^3     ,y^4     ,y^5     ,y^6     ,y^7     ,z^0     ,z^1     ,z^2     ,z^3     ,z^4     ,z^5     ,z^6     ,z^7     ,yaw^0   ,yaw^1   ,yaw^2   ,yaw^3   ,yaw^4   ,yaw^5   ,yaw^6   ,yaw^7   
0.800000,0.500000,0.000000,0.000000,0.000000,-0.427877,0.932548,-0.795296,0.250012,0.000000,0.000000,0.000000,0.000000,3.568485,-8.252942,7.140079,-2.244580,0.000000,0.000000,0.000000,0.000000,0.915235,-2.113453,1.827984,-0.574651,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.474268,-0.071275,-0.034297,0.039443,-0.087207,0.108987,-0.080341,0.025256,0.158334,0.325378,-0.129014,-0.463558,0.987477,-1.050891,0.721294,-0.226749,0.041026,0.085521,-0.029583,-0.116995,0.252223,-0.268864,0.184664,-0.058052,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.399721,-0.117426,-0.036315,-0.002719,0.006331,0.005751,-0.008116,0.002551,0.300371,0.101090,0.041110,0.106053,-0.141957,-0.019876,0.072866,-0.022906,0.082051,0.036016,0.016687,0.028120,-0.036201,-0.005178,0.018655,-0.005864,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.284032,-0.167280,-0.021390,0.007818,-0.005254,0.002746,-0.000820,0.000258,0.411492,0.140281,-0.061179,-0.057654,0.089091,-0.038820,0.007361,-0.002314,0.123077,0.057878,-0.007085,-0.013906,0.022595,-0.009909,0.001885,-0.000592,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.139109,-0.192768,-0.012004,0.003881,0.002237,-0.000709,-0.000083,0.000026,0.480259,0.044881,-0.026894,0.021192,-0.034817,0.011926,0.000744,-0.000234,0.164103,0.048441,0.003074,0.005787,-0.009008,0.003037,0.000190,-0.000060,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.020133,-0.201507,0.001943,0.006029,-0.000951,0.000297,-0.000008,0.000003,0.499594,-0.003309,-0.045709,-0.009634,0.016055,-0.005626,0.000075,-0.000024,0.205128,0.052505,-0.001322,-0.002511,0.003951,-0.001432,0.000019,-0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.177302,-0.188174,0.014248,0.004838,0.000200,-0.000179,-0.000001,0.000000,0.467508,-0.073479,-0.035687,0.006165,-0.006129,0.002347,0.000008,-0.000002,0.246154,0.050755,0.000569,0.001079,-0.001694,0.000604,0.000002,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.316223,-0.156046,0.025707,0.004326,-0.000521,0.000032,-0.000000,0.000000,0.387302,-0.126475,-0.032377,0.001619,0.003293,-0.001058,0.000001,-0.000000,0.287179,0.051509,-0.000245,-0.000465,0.000730,-0.000261,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.422595,-0.107610,0.034253,0.002863,-0.000394,-0.000044,-0.000000,0.000000,0.267233,-0.170591,-0.021262,0.005387,-0.000938,0.000400,0.000000,-0.000000,0.328205,0.051184,0.000106,0.000200,-0.000314,0.000112,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.485471,-0.048204,0.039388,0.001323,-0.000569,0.000008,-0.000000,0.000000,0.119658,-0.195367,-0.009884,0.004948,0.000663,-0.000234,0.000000,-0.000000,0.369231,0.051324,-0.000045,-0.000086,0.000135,-0.000048,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
